"","Think_well","Live_well","Feel_well"
"BM000175","4","4","7"
"BM000179","7","5","7"
"BM000186","7","5","7"
"BM000201","5","4","7"
"BM000214","2","4","2"
"BM000217","1","4","1"
"BM000219","8","5","8"
"BM000227","7","7","4"
"BM000228","8","5","8"
"BM000235","4","5","5"
"BM000236","5","5","5"
"BM000242","1","6","1"
"BM000244","7","4","7"
"BM000252","5","6","5"
"BM000256","8","6","8"
"BM000258","7","5","7"
"BM000263","5","4","5"
"BM000269","8","7","7"
"BM000275","5","5","7"
"BM000276","8","7","7"
"BM000279","7","6","5"
"BM000280","5","5","5"
"BM000285","2","3","2"
"BM000288","2","5","4"
"BM000292","5","5","7"
"BM000297","1","5","1"
"BM000304","8","8","8"
"BM000311","8","6","8"
"BM000314","1","3","1"
"BM000317","1","4","1"
"BM000325","4","6","4"
"BM000326","7","6","7"
"BM000334","8","5","7"
"BM000339","5","5","5"
"BM000048","7","4","7"
"BM000051","7","5","7"
"BM000053","7","7","8"
"BM000055","4","6","4"
"BM000056","4","5","8"
"BM000057","7","6","7"
"BM000058","5","7","5"
"BM000070","1","4","2"
"BM000360","7","7","7"
"BM000363","5","6","7"
"BM000366","8","7","7"
"BM000372","5","6","7"
"BM000380","8","7","7"
"BM000387","5","5","7"
"BM000388","8","4","7"
"BM000392","5","6","7"
"BM000394","5","6","7"
"BM000396","7","6","8"
"BM000400","2","4","5"
"BM000404","4","7","2"
"BM000415","5","5","7"
"BM000416","5","7","5"
"BM000420","7","9","5"
"BM000424","8","6","7"
"BM000426","7","8","7"
"BM000431","7","7","7"
"BM000435","7","9","7"
"BM000439","8","9","7"
"BM000444","7","6","5"
"BM000445","5","8","5"
"BM000454","4","4","4"
"BM000456","4","4","1"
"BM000458","8","6","8"
"BM000460","7","6","7"
"BM000462","4","5","2"
"BM000469","4","4","1"
"BM000475","10"," 7"," 7"
"BM000476","4","6","4"
"BM000478","8","6","8"
"BM000483","7","5","5"
"BM000485","5","6","5"
"BM000495","5","6","7"
"BM000496","10"," 6"," 7"
"BM000499","8","8","7"
"BM000079","7","4","7"
"BM000081","5","6","5"
"BM000082","5","5","5"
"BM000085","7","6","5"
"BM000087","4","5","2"
"BM000089","7","7","7"
"BM000597","5","6","7"
"BM000601","7","6","8"
"BM000610","5","4","7"
"BM000612","7","9","4"
"BM000613","1","3","1"
"BM000619","5","6","5"
"BM000620","2","4","2"
"BM000623","7","6","4"
"BM000632","1","3","1"
"BM000635","7","5","8"
"BM000638","5","4","7"
"BM000646","8","7","7"
"BM000648","4","6","7"
"BM000649","5","6","7"
"BM000654","8","6","7"
"BM000657","5","7","4"
"BM000663","7","7","8"
"BM000665","7","4","8"
"BM000672","1","4","2"
"BM000673","5","5","8"
"BM000676","1","3","1"
"BM000681","5","5","7"
"BM000684","1","3","1"
"BM000687","8","7","5"
"BM000688","10"," 7"," 8"
"BM000692","1","3","1"
"BM000700","2","4","1"
"BM000708","8","5","8"
"BM000712","1","3","1"
"BM000715","7","7","8"
"BM000716","7","6","8"
"BM000719","4","6","2"
"BM000720","4","5","1"
"BM000721","8","7","8"
"BM000722","8","7","5"
"BM000727","5","8","8"
"BM000729","7","6","7"
"BM000733","7","7","7"
"BM000734","7","6","7"
"BM000735","5","3","7"
"BM000740","8","5","8"
"BM000743","7","6","8"
"BM000745","8","7","7"
"BM000751","2","5","2"
"BM000756","8","6","8"
"BM000767","7","6","5"
"BM000768","8","6","7"
"BM000892","8","6","7"
"BM000902","2","6","4"
"BM000916","10"," 7"," 8"
"BM000925","7","5","5"
"BM000931","5","5","8"
"BM000948","7","5","7"
"BM000954","10"," 8"," 7"
"BM001069","7","6","5"
"BM001070","7","5","8"
"BM001073","1","4","1"
"BM001078","1","3","1"
"BM001084","5","6","5"
"BM001091","1","4","1"
"BM001093","8","7","8"
"BM001094","1","4","1"
"BM001098","4","4","1"
"BM001103","1","3","1"
"BM001104","8","8","8"
"BM001107","10"," 9"," 7"
"BM001112","8","7","7"
"BM001115","8","6","5"
"BM001116","5","5","7"
"BM001117","5","4","7"
"BM001118","5","4","7"
"BM001119","5","6","5"
"BM001122","7","6","7"
"BM001124","7","6","4"
"BM001125","7","7","7"
"BM001126","1","5","1"
"BM001127","1","6","1"
"BM001128","7","7","2"
"BM001131","7","6","8"
"BM001133","8","5","7"
"BM001134","10"," 7"," 7"
"BM001137","7","6","7"
"BM001140","5","8","7"
"BM001141","1","6","1"
"BM001148","5","5","7"
"BM001152","10"," 9"," 8"
"BM001154","1","7","2"
"BM001159","7","5","5"
"BM001160","8","8","7"
"BM001161","1","4","2"
"BM001166","8","8","7"
"BM001169","8","7","8"
"BM001174","8","9","7"
"BM001177","2","6","4"
"BM001182","5","6","5"
"BM001183","4","7","5"
"BM001184","2","4","1"
"BM001189","1","6","1"
"BM001196","10"," 7"," 7"
"BM001202","7","5","7"
"BM001204","5","5","7"
"BM001205","7","6","7"
"BM001210","8","6","8"
"BM001217","7","6","5"
"BM001219","1","6","1"
"BM001227","2","3","4"
"BM001229","10"," 6"," 8"
"BM001234","8","4","5"
"BM001239","5","6","7"
"BM001240","7","6","5"
"BM001242","7","7","7"
"BM001244","7","5","5"
"BM001248","5","5","7"
"BM001250","8","7","8"
"BM001253","2","4","2"
"BM001259","8","7","7"
"BM000113","7","6","5"
"BM000115","2","4","1"
"BM000118","5","4","5"
"BM001352","7","5","7"
"BM000132","10"," 7"," 8"
"BM000136","7","6","7"
"BM000138","4","7","5"
"BM001376","5","5","7"
"BM001400","8","5","7"
"BM001407","4","5","1"
"BM001413","8","8","7"
"BM000152","7","5","4"
"BM000154","5","5","7"
"BM000158","7","6","7"
"BM001952","10"," 4"," 5"
"BM001964","5","5","7"
"BM001973","5","4","7"
"BM001974","4","4","7"
"BM001976","7","4","7"
"BM001977","4","3","7"
"BM001703","7","6","5"
"BM001706","5","6","5"
"BM001710","8","8","5"
"BM001716","5","5","8"
"BM001724","7","7","5"
"BM001731","8","7","7"
"BM001736","5","5","7"
"BM001923","1","3","1"
"BM001933","5","7","5"
"BM001942","5","4","7"
"BM001943","5","4","7"
"BM001948","5","4","7"
"SRR9606838","1","2","1"
"SRR9606839","1","4","1"
"SRR9606840","1","2","1"
"SRR9606841","4","4","5"
"SRR9606842","1","3","1"
"SRR9606843","5","6","7"
"SRR9606844","5","4","5"
"SRR9606845","1","3","1"
"SRR9606846","4","3","1"
"SRR9606847","1","2","1"
"SRR9606906","1","2","1"
"SRR9606907","1","5","1"
"SRR9606908","4","4","5"
"SRR9606909","7","6","7"
"SRR9606910","1","3","1"
"SRR9606911","4","6","1"
"SRR9606912","4","5","7"
"SRR9606913","5","4","7"
"SRR9606914","1","2","1"
"SRR9606915","5","7","7"
"SRR9606928","1","2","2"
"SRR9606929","7","4","5"
"SRR9606930","4","5","7"
"SRR9606931","7","5","5"
"SRR9606932","2","6","1"
"SRR9606933","5","5","7"
"SRR9606934","1","2","1"
"SRR9606935","1","3","1"
"SRR9606936","5","6","5"
"SRR9606994","7","4","2"
"SRR9606995","7","5","5"
"SRR9606996","1","3","1"
"SRR9606997","1","2","1"
"SRR9606998","4","5","2"
"SRR9606999","7","4","5"
"SRR9607000","4","4","1"
"SRR9607001","4","4","4"
"SRR9607002","5","5","4"
"SRR9607003","1","3","1"
"SRR9607024","1","3","1"
"SRR9607025","10"," 5"," 5"
"SRR9607028","5","4","7"
"SRR9607029","1","3","1"
"SRR9607030","7","4","7"
"SRR9607031","2","4","1"
"SRR9607032","1","4","1"
"SRR9607033","1","3","1"
"SRR9607034","2","4","5"
"SRR9607039","1","2","1"
"SRR9607040","1","4","1"
"SRR9607041","5","4","7"
"SRR9607042","2","4","1"
"SRR9607043","5","4","5"
"SRR9607044","7","4","5"
"SRR9607085","1","4","1"
"SRR9607086","2","4","4"
"SRR9607089","2","5","1"
"SRR9607090","1","2","1"
"SRR9607091","2","3","5"
"SRR9607092","1","3","1"
"SRR9607175","4","5","5"
"SRR9607176","4","4","7"
"SRR9607177","7","4","5"
"SRR9607178","1","3","1"
"SRR9607179","1","2","1"
"SRR9607180","5","5","7"
"SRR9607181","5","5","7"
"SRR9607182","5","4","5"
"SRR9607183","4","4","2"
"SRR9607184","7","4","7"
"SRR9607198","1","4","1"
"SRR9607199","5","6","7"
"SRR9607204","1","3","1"
"SRR9607205","4","4","2"
"SRR9607206","4","4","7"
"SRR9607207","2","4","1"
"SRR9607208","1","4","1"
"SRR9607209","7","6","7"
"SRR9607210","4","5","5"
"SRR9607211","7","4","7"
"SRR9607236","1","4","1"
"SRR9607248","1","3","1"
"SRR9607271","5","5","4"
"SRR9607272","5","4","7"
"SRR9607279","4","4","7"
"SRR9607280","1","4","1"
"SRR9607281","1","2","1"
"SRR9607282","7","4","5"
"SRR9607283","1","4","1"
"SRR9607284","4","4","5"
"SRR9607285","1","4","1"
"SRR9607286","4","4","5"
"SRR9607327","7","5","7"
"SRR11574864","1","3","1"
"SRR11574868","4","6","8"
"SRR11574870","1","3","1"
"SRR11574871","2","4","1"
"SRR11574872","1","4","1"
"SRR11574873","2","4","8"
"SRR11574875","2","5","1"
"SRR11574876","5","3","4"
"SRR11574879","1","3","1"
"SRR11574884","1","3","1"
"SRR11574885","2","4","2"
"SRR11574886","1","4","1"
"SRR11574887","1","4","1"
"SRR11574888","1","3","1"
"SRR13921607","4","5","8"
"SRR13921618","7","4","8"
"SRR13921619","7","5","5"
"SRR13921620","1","3","1"
"SRR13921621","4","5","5"
"SRR13921630","7","4","7"
"SRR13921641","7","6","7"
"SRR13921652","8","4","7"
"SRR13921659","4","4","5"
"SRR13921660","8","6","7"
"SRR13921661","4","5","8"
"SRR13921662","5","4","5"
"SRR13921663","5","5","7"
"SRR13921664","4","3","5"
"SRR13921665","7","4","8"
"SRR13921666","4","5","5"
"SRR13921677","2","4","1"
"SRR13921688","7","5","8"
"SRR13921690","5","6","7"
"SRR13921691","7","4","5"
"SRR13921692","5","4","5"
"SRR13921693","4","4","7"
"SRR13921694","5","5","8"
"SRR13921695","5","5","8"
"SRR13921696","4","4","8"
"SRR13921697","2","3","4"
"SRR13921698","7","5","7"
"SRR13921699","1","4","1"
"SRR13921700","5","3","7"
"SRR13921701","5","3","5"
"SRR13921702","4","5","7"
"SRR13921703","8","5","7"
"SRR13921704","1","4","1"
"SRR13921705","1","3","2"
"SRR13921706","5","6","7"
"SRR13921707","7","5","8"
"SRR13921708","4","4","1"
"SRR13921709","4","4","5"
"SRR13921710","5","5","8"
"SRR13921721","4","4","8"
"SRR13921732","8","4","7"
"SRR13921739","8","6","5"
"SRR13921740","4","5","1"
"SRR13921741","5","3","7"
"SRR13921742","2","6","4"
"SRR13921743","5","4","7"
"SRR13921744","4","4","7"
"SRR13921745","7","4","8"
"SRR13921746","4","7","4"
"SRR13921747","5","4","8"
"SRR13921748","8","4","8"
"SRR13921749","5","4","5"
"SRR13921757","5","4","5"
"SRR13921768","7","5","8"
"SRR13921769","7","6","7"
"SRR13921770","4","5","5"
